car_model,price,year_model,kms,color,fueltype
Chevrolet Spark Gt Gt Full,$32.500.000,2017,103.060,Color not found,Gasolina
Chevrolet Spark Gt Ltz,$34.700.000,2017,72.400,Color not found,Gasolina
Chevrolet Spark 1.2 Gt Lt,$36.000.000,2019,42.350,Blanco,Gasolina
Chevrolet Captiva 2.4 Sport 182 hp,$35.900.000,2016,62.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300,$27.400.000,2011,165.000,Gris,Gasolina
Chevrolet Spark GT 1.2 Ls,$41.900.000,2021,31.000,Rojo,Gasolina
Chevrolet Spark LT LIFE,$25.500.000,2016,122.807,Rojo,Gasolina
Chevrolet Spark Gt,$24.000.000,2011,156.000,Azul,Gasolina
Chevrolet Spark GT 1.2 Lt,$37.500.000,2019,32.600,Color not found,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$18.000.000,2012,152.000,Negro,Gasolina
Chevrolet Spark Gt Mod 2017,$33.500.000,2017,78.000,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$28.000.000,2019,51.000,Color not found,Gasolina
Chevrolet Spark 1.0 Go,$25.000.000,2016,69.000,Plateado,Gasolina
Chevrolet Spark 1.0 Lt M200,$19.900.000,2008,68.200,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300,$26.400.000,2012,116.300,Negro,Gasolina
Chevrolet Spark 1.0 Lt,$23.500.000,2016,72.242,Rojo,Gasolina
Chevrolet Spark Gt Ltz 2016,$33.800.000,2016,70.473,Negro,Gasolina
Chevrolet Spark 1.0 Life,$26.900.000,2017,99.998,Blanco,Gasolina
Chevrolet Spark GT 1.2 Ltz,$39.800.000,2018,44.970,Rojo,Gasolina
Chevrolet Spark 1.2 GT LTZ/PREMIER MT,$37.500.000,2019,80.000,Plateado,Gasolina
Chevrolet Spark Gt ,$27.700.000,2013,97.000,Rojo,Gasolina
Chevrolet Spark GT 1.2 Ltz,$40.900.000,2019,65.000,Blanco,Gasolina
Chevrolet Spark Gt Lt Cc1200 Mecanico 80 Hp,$32.900.000,2019,117.000,Rojo,Gasolina
Chevrolet Spark 1.2 GT ACTIV MT,$41.900.000,2020,76.000,Blanco,Gasolina
Chevrolet Spark 1.0 Life,$24.900.000,2018,123.000,Negro,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$29.900.000,2016,150.000,Plateado,Gasolina
Chevrolet Spark GT 1.2,$27.000.000,2013,214.010,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$30.500.000,2015,110.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt M300,$26.900.000,2012,159.800,Blanco,Gasolina
Chevrolet Spark Gt Activ 2022,$49.800.000,2022,26.369,Azul,Gasolina
Chevrolet Spark 1.2 Gt Lt,$42.900.000,2021,54.233,Blanco,Gasolina
Chevrolet Spark Gt Ltz 1.2 Mt Mod 2012 ,$30.900.000,2012,138.600,Rojo,Gasolina
Chevrolet Spark LIFE,$23.900.000,2015,92.000,Blanco,Gasolina
Chevrolet Spark Lt 2013,$25.800.000,2013,88.000,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$34.000.000,2017,154.758,Rojo,Gasolina
Chevrolet Spark 1.2 Gt M300,$33.500.000,2014,31.845,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$33.900.000,2017,67.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Lt,$36.500.000,2018,59.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$34.900.000,2017,87.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2015,177.000,Blanco,Gasolina
Chevrolet Spark 2014,$22.400.000,2014,87.000,Blanco,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$33.800.000,2018,97.900,Plateado,Gasolina
Chevrolet Spark Life ,$22.990.000,2012,105.000,Plateado,Gasolina
Chevrolet Spark 1.2 Gt Ltz,$33.900.000,2018,85.000,Plateado,Gasolina
Chevrolet Spark GT lt 1.2,$37.300.000,2018,54.637,Rojo,Gasolina
Chevrolet Spark Lt ,$35.000.000,2018,69.938,Gris,Gasolina
Chevrolet Spark 1.0 Go,$27.000.000,2010,98.000,Rojo,Gasolina
Chevrolet Spark Gt Gt Ltz ,$34.900.000,2017,116.000,Rojo,Gasolina
