car_model,price,year_model,kms,color,fueltype
Renault Duster 1.6 Expression Mecánica,$49.900.000,2017,179.442,Blanco,Gasolina y gas
Renault Duster 1.3 iconic Mt 4x4,$88.000.000,2023,30.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$48.000.000,2017,150.000,Blanco,Gasolina
Renault Duster Tripadvisor ,$64.000.000,2018,37.353,Plateado,Gasolina
Renault Duster 1.3 Intens 4x4,$75.900.000,2022,47.000,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x2,$45.000.000,2015,111.352,Negro,Gasolina
Renault Duster Oroch 1.3  Cargo ,$94.000.000,2023,1.900,Blanco,Gasolina
Renault Duster 2.0 Dynamique 4x4,$65.000.000,2019,66.000,Gris,Gasolina
Renault Duster 1.6 Tripadvisor Intens 4X2,$57.900.000,2019,43.800,Gris,Gasolina
Renault Duster 2.0 Dynamique 4x2,$60.000.000,2020,40.000,Gris,Gasolina
Renault Duster 1.6 Dynamique,$56.000.000,2021,208.000,Blanco,Gasolina
Renault Duster Oroch 2.0 Intens,$69.000.000,2020,72.000,Gris,Gasolina
Renault Duster Dynamique Automática,$52.100.000,2017,64.000,Rojo,Gasolina
Renault Duster 1.3 Intense Mt 4x4 Outsider,$80.000.000,2022,82.000,Blanco,Gasolina
Renault Duster DYNAMIQUE 4X4 2000CC MT AA,$57.500.000,2021,44.000,Blanco,Gasolina
Renault Duster DYNAMIQUE  2000CC AT AA,$55.000.000,2016,74.966,Gris,Gasolina
Renault Duster 1.3 Intense Cvt,$90.500.000,2023,11.100,Gris,Gasolina
Renault Duster 1.3 Intense Cvt,$92.000.000,2023,2.864,Gris,Gasolina
Renault Duster Outsider Turbo 1.4 ,$73.900.000,2022,54.000,Gris,Gasolina
Renault Duster 1.3 Intense Cvt,$75.000.000,2022,60.000,Gris,Gasolina
Renault Duster 1.3 Intens,$87.000.000,2024,560,Blanco,Gasolina
Renault Duster Oroch 2.0cc Mt Aa 4x2 ,$67.500.000,2020,37.000,Plateado,Gasolina
Renault Duster 2000cc Mt Aa,$60.000.000,2020,78.500,Gris,Gasolina
Renault Duster 1.3 Intense Cvt,$82.900.000,2023,15.500,Rojo,Gasolina
Renault Duster Oroch 2.0 Dynamique 4x4,$69.900.000,2022,35.256,Blanco,Gasolina
"Renault Duster Dynamique Aut 2,0 4x2",$54.800.0001% OFF,2017,69.870,Gris,Gasolina
Renault Duster Oroch 2.0cc Mt Aa 4x4 ,$82.500.000,2021,11.267,Blanco,Gasolina
Renault Duster 1.6 Zen,$79.000.000,2024,39.000,Blanco,Gasolina
Renault Duster 2.0 Intense,$54.000.000,2021,85.000,Blanco,Gasolina
Renault Oroch Zen 1.3 Mecanica 4x4 Gasolina,$83.900.000,2023,19.090,Blanco,Gasolina
Renault Duster 2.0cc Mt Aa 4x4 ,$64.000.000,2020,45.500,Blanco,Gasolina
Renault Duster Expression,$50.000.000,2021,205.000,Blanco,Gasolina y gas
Renault Duster 2.0 Dynamique 4x2,$68.500.000,2019,51.359,Gris,Gasolina
